raw_text,aspectTerms,aspectCategories
"Also, the battery does not last very long at all.","[{'term': 'battery', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Although its windows vista compared to windows xp sucks.,"[{'term': 'windows vista', 'polarity': 'negative'}, {'term': 'windows xp', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
And Dell and Best Buy both refused to take it back after I only had it for 1 hour....,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"And I babyed the heck out of it, just one day when I opened it turned it on, went to click and it was broke.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
And I would recommend this to anyone looking for a new laptop.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"And I'm still paying the financing, for a product which didn't last me at least three years !","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
And printing from either word processor is an adventure.,"[{'term': 'word processor', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
And the screen on this thing is absolutely amazing for high-quality videos and movies and gaming.,"[{'term': 'screen', 'polarity': 'positive'}, {'term': 'gaming', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
And these are some reasons you should invest in a macbook pro.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Another great thing is the Beast graphics.,"[{'term': 'Beast graphics', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Anyways I bought this two months ago and when I first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporarily in save zone.,"[{'term': 'hard drive', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Apparently they're no longer special.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Apple is always great about the aesthetics of things, they always come up with good-looking products.","[{'term': 'aesthetics', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Applications respond immediately (not like the tired MS applications).,"[{'term': 'Applications', 'polarity': 'positive'}, {'term': 'MS applications', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"As usual at the customer service center, she asked me to hold for a moment while she went to the back-office and compare it with other same model netbooks and discussed it with her colleague (I could see them).","[{'term': 'customer service center', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Astonishing computer!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Because it is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.","[{'term': 'look and feel standpoint', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Because the battery life is so good, I just charge it overnight and leave the cord behind.","[{'term': 'cord', 'polarity': 'neutral'}, {'term': 'battery life', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Because we didn't purchase the extended warranty in time, we are responsible for the repair.","[{'term': 'extended warranty', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Before we got this laptop, had a compaq pasaro for 5 years with no problems.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Best Buy ended up junking the computer and giving me a replacement computer.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Big mistake!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Bought it to use mostly for online classes.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Bought notebook 07/2009.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Browsing, also, was no problem for me when I used itunes (which usually slows down my PC).","[{'term': 'Browsing', 'polarity': 'positive'}, {'term': 'itunes', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
But guess what? (you have to buy an external dvd drive it doesn't have a built-in type) The notebook is unusable because it can't read anything from an external drive.,"[{'term': 'external dvd drive', 'polarity': 'negative'}, {'term': 'external drive', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
But if you're willing to pay another 200 dollar for a Windows disc.,"[{'term': 'windows disc', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
But overall the quality was less than what the cheap laptop was worth.,"[{'term': 'quality', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"But when placed on a lap or on a desk in front of you, it looks more than big enough (this could be because Im used to my Lenovo 10 tablet now) plus this is a great size if I want to unplug the external keyboard, mouse, and monitor to take it with me when I take photos and video.","[{'term': 'size', 'polarity': 'positive'}, {'term': 'external keyboard', 'polarity': 'neutral'}, {'term': 'mouse', 'polarity': 'neutral'}, {'term': 'monitor', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
But while this is one big advantage (as you may know from the company's recent commercials) there are other factors to consider before choosing Apple.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"But, for the cost, this is a winner.","[{'term': 'cost', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Buy this if you like being tortured, teased, frustrated, and wasting twice as much time as you spent using your old Mac.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"By the time I was finally able to get a work order to get it fixed, I had been without my computer for almost a week while I was an Online College Student, so it was very inconvenient, and I had to send it off and be without it while it was being fixed also.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Come on, LG.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Computer frequently crashed and battery life decreased very quickly.,"[{'term': 'battery life', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Cosmetically, the only thing they changed was 2 of the Function keys at the top.","[{'term': 'Function keys', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Cut my losses and sold it for parts.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Dells are okay, HPs aren't that good, but Macs are fantastic.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Despite encountering numerous problems, I was able to employ technological solutions to keep the machine functioning for two years.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Disappointing for such a lovely screen and at a reasonable price.,"[{'term': 'screen', 'polarity': 'positive'}, {'term': 'price', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Do not buy it!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Do not buy you will be disappointed.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Do yourself a favor and invest in a few external hard drives if you are planning on purchasing this laptop.,"[{'term': 'external harddrives', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Do yourself a favor, this is not a fake story trying to hurt Alienware...","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Easy to get going and does not overheat as much as other laptops.,"[{'term': 'start up', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Either way the entire thing was just a joke, a complete rip off.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Enjoy your sitdown.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Even if Apple replaces whatever needs replacing I wonder if, since I seem to be doubling the amount of time I get out of it each time it's 'like new,' I might have 8 months next time.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Even if you work in a controlled-lighting environment like me (I prefer it dark), the reflectiveness of the display is only a minor inconvenience or if you can crank up the brightness.","[{'term': 'display', 'polarity': 'negative'}, {'term': 'brightness', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Even though there is no backlit keyboard, it is not a concern for me.","[{'term': 'keyboard', 'polarity': 'conflict'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Even worse, for the price I could get a *netbook* that outperforms this machine.","[{'term': 'price', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Eventually, we were able to convince them that this was the device causing the problems.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Fast, fast, and fast, the web pages just fly by.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Featuring a super fast processor and a really nice graphics card.,"[{'term': 'processor', 'polarity': 'positive'}, {'term': 'graphics card', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Finally, I managed to get in touch with a young lady in California, ordered the machine, and was subsequently provided with a delivery date.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
First I have been searching for long time before i decided to get mac.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"First of all, I've been a Dell fan for more than fifteen years.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"First things first, Macbook Pro has many applications to make life easier, unlike the Windows computers.","[{'term': 'applications', 'polarity': 'positive'}, {'term': 'windows', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Following multiple attempts of trying (including setting the clock in BIOS setup directly), I surrendered(I am a techie).","[{'term': 'clock in BIOS setup', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"For my burned thigh, which has left a permanent mark on my skin (it occurred 7 months ago), they offered me an iPod Touch 8Gig (it's somewhat disappointing when a company as wealthy as this one provides a loyal customer like myself with a bottom-tier product as a gift for situations like this).","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"For those concerned about noise, this device doesn't really make any.","[{'term': 'noise', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Games remain the main issue.,"[{'term': 'Games', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Garageband is easy to work with, like all the other apple applications I've used.","[{'term': 'Garageband', 'polarity': 'positive'}, {'term': 'apple applications', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Great value, fast delivery- Computer works as if brand new, no problems, very pleased.","[{'term': 'delivery', 'polarity': 'positive'}, {'term': 'value', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"HP Pavilion DV9000 Notebook PC When I first got this computer, it really rocked.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Has fulfilled or surpassed my needs for a compact travel device.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Have had many higher priced computers crash and burn long before I ever got to use all that great memory and speed, etc.","[{'term': 'memory', 'polarity': 'negative'}, {'term': 'speed', 'polarity': 'negative'}, {'term': 'priced', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Having said that, the browser, it too has issues.","[{'term': 'browser', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Having some trouble finding a case that it would fit in.,"[{'term': 'case', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Here we are another year later and the computer is experiencing the same issue.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"Honestly, I spent more time waiting for it to unfreeze than actually doing what I got on there for!","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
Horrible customer support.,"[{'term': 'customer support', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"How Toshiba handles the repair seems to vary, some folks indicate that they were charged for even an initial fix, others had the repair done 5 times.","[{'term': 'repair', 'polarity': 'conflict'}, {'term': 'repair', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"However, in early July of this year, the DVD burner stopped working, and the computer started having issues with power supply.","[{'term': 'DVD burner', 'polarity': 'negative'}, {'term': 'power supply', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"However, it may be potentially hundreds or thousands in the near future.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"However, the frozen screens kept happening.","[{'term': 'screens', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"However, there's this program called Boot Camp that enables you to run another OS X, such as Windows.","[{'term': 'application', 'polarity': 'neutral'}, {'term': 'OS X', 'polarity': 'neutral'}, {'term': 'Boot Camp', 'polarity': 'neutral'}, {'term': 'Windows', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOESN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS,"[{'term': 'CHARGE TIME', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"I WILL NEVER AGAIN buy another Acer, nor will I buy Gateway, or eMachine as they are all from the same company.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
I admire how the entire suite of software functions harmoniously.,"[{'term': 'suite of software', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"I adore this laptop and use it every day for various tasks, and it never disappoints me.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"I also bought AppleCare for $300, a three-year extended warranty, as I have never come across a laptop that lasted more than two years.","[{'term': 'Applecare', 'polarity': 'neutral'}, {'term': 'extended warranty', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
I also love having the extra calculator number set up on the Keyboard which most laptops do not have.,"[{'term': 'keyboard', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"I also received the added bonus of a 30"" HD Monitor, which really helps extend my screen and keep my eyes refreshed!","[{'term': '30"" HD Monitor', 'polarity': 'positive'}, {'term': 'screen', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
I also travel with it and it never presents any issues.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
I am a first-time Mac Buyer and am amazed at features and the ease of use the Mac offers.,"[{'term': 'features', 'polarity': 'positive'}, {'term': 'use', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
"I am a huge computer enthusiast and I adore any computer that functions well. When I got this one, I was elated with its performance and efficiency.","[{'term': 'runs', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
